Experiment	Tag	Anim	Date	Date/Time	Standing	Active	Lying	Steps	collar	DOP	lat	long	distance (m)	X_Act	Y_Act	% HeadDown	Activity	SMA	Diffxy	Meanxy	Varxy	logx	logy	logdiffxy	logmeanxy	logvarxy	logdistance	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123
Abdel	177442	1677	10/5/1950	11:24	0.0996	0.9004	0.0000	246	1538	2.1	35.9469522	-97.2680872	61.66	39	66	19	W	105	-27	53	364.5	1.6	1.8	1.4	1.7	2.6	1.8	165.6	119.2	49.2	414.3	493.7	161.1	134.4	2.8	408.1	541.4
Abdel	177379	1553	9/14/1950	11:19	0.2978	0.7022	0.0000	178	1535	3.5	35.9484136	-97.2677347	60.98	182	10	7	W	192	172	96	14792	2.3	1.0	2.2	2.0	4.2	1.8	248.8	209.4	195.5	328.1	392.9	165.6	4.8	249.9	326.7	573.7
Abdel	177406	1635	10/6/1950	10:45	0.6518	0.3482	0.0000	92	1530	3.2	35.9465886	-97.2693331	60.32	4	18	9	G	22	-14	11	98	0.6	1.3	1.1	1.0	2.0	1.8	79.4	53.3	44.3	144.2	156.6	248.8	119.2	245.5	414.3	575.4
Abdel	177492	1713	10/6/1950	11:50	0.6250	0.3750	0.0000	105	1532	2.8	35.9466225	-97.2684522	59.76	37	8	0	RS	45	29	23	420.5	1.6	0.9	1.5	1.4	2.6	1.8	64.8	72.2	73.4	77.2	78.4	79.4	209.4	49.2	328.1	493.7
Abdel	177406	1635	10/6/1950	11:37	0.0326	0.9674	0.0000	260	1530	5.2	35.9469906	-97.2690103	59.70	28	54	23	W	82	-26	41	338	1.4	1.7	1.4	1.6	2.5	1.8	12.4	12.9	82.5	13.6	108.7	64.8	53.3	195.5	144.2	392.9
Abdel	177442	1677	10/6/1950	7:52	0.6330	0.3670	0.0000	76	1538	2.5	35.9469553	-97.2691411	45.18	244	27	87	G	271	217	136	23544.5	2.4	1.4	2.3	2.1	4.4	1.7	1.2	94.3	6.3	96.3	185.9	12.4	72.2	44.3	77.2	156.6
Abdel	177492	1713	10/5/1950	13:03	0.1048	0.8952	0.0000	244	1532	2.8	35.9469636	-97.2691500	58.68	172	4	0	W	176	168	88	14112	2.2	0.6	2.2	1.9	4.1	1.8	95.1	6.4	148.5	184.6	327.8	1.2	12.9	73.4	13.6	78.4
Abdel	177492	1713	10/5/1950	11:24	0.0616	0.9384	0.0000	260	1532	2.0	35.9469875	-97.2680942	58.64	187	21	6	W	208	166	104	13778	2.3	1.3	2.2	2.0	4.1	1.8	89.5	133.9	81.8	232.8	374.5	95.1	94.3	82.5	96.3	108.7
Abdel	177406	1635	10/5/1950	13:03	0.1288	0.8712	0.0000	217	1530	5.6	35.9469928	-97.2690889	58.43	84	14	7	W	98	70	49	2450	1.9	1.1	1.8	1.7	3.4	1.8	143.2	8.0	41.2	285.0	332.6	89.5	6.4	6.3	184.6	185.9
Abdel	177492	1779	9/14/1950	12:50	0.7818	0.2182	0.0000	55	1531	2.8	35.9481619	-97.2684217	57.42	51	73	32	RL	124	-22	62	242	1.7	1.9	1.3	1.8	2.4	1.8	141.8	177.3	9.2	189.4	365.4	143.2	133.9	148.5	232.8	327.8
Abdel	177416	1646	10/6/1950	11:37	0.0294	0.9706	0.0000	270	1527	2.5	35.9469767	-97.2690025	56.94	36	4	97	W	40	32	20	512	1.6	0.6	1.5	1.3	2.7	1.8	47.6	138.7	37.0	223.6	392.1	141.8	8.0	81.8	285.0	374.5
Abdel	177442	1677	10/5/1950	11:41	0.1898	0.8102	0.0000	223	1538	2.7	35.9468264	-97.2694978	56.72	116	34	68	W	150	82	75	3362	2.1	1.5	1.9	1.9	3.5	1.8	176.0	10.9	126.3	344.5	459.9	47.6	177.3	41.2	189.4	332.6
Abdel	177360	1635	9/14/1950	12:50	0.8292	0.1708	0.0000	36	1525	2.6	35.9481056	-97.2683464	56.54	67	79	72	RS	146	-12	73	72	1.8	1.9	1.1	1.9	1.9	1.8	168.5	126.5	146.0	283.9	379.9	176.0	138.7	9.2	223.6	365.4
Abdel	177406	1635	10/5/1950	9:31	0.7182	0.2818	0.0000	68	1530	3.8	35.9468408	-97.2693775	56.50	158	58	81	G	216	100	108	5000	2.2	1.8	2.0	2.0	3.7	1.8	115.4	23.7	166.8	211.4	356.1	168.5	10.9	37.0	344.5	392.1
Abdel	177406	1635	10/5/1950	11:24	0.1002	0.8998	0.0000	239	1530	2.9	35.9469847	-97.2681083	56.38	71	72	31	W	143	-1	72	0.5	1.9	1.9	0.0	1.9	-0.3	1.8	96.1	129.8	131.6	240.8	245.8	115.4	126.5	126.3	283.9	459.9
Abdel	177442	1677	10/5/1950	13:03	0.0968	0.9032	0.0000	249	1538	4.1	35.9469769	-97.2691756	55.70	42	114	31	W	156	-72	78	2592	1.6	2.1	1.9	1.9	3.4	1.7	144.7	149.1	50.4	149.7	279.8	96.1	23.7	146.0	211.4	379.9
